Ticker,Weight
NVDA,8.172928
MSFT,7.412178
AAPL,5.654659
AMZN,3.723143
META,3.138163
AVGO,2.606149
GOOGL,2.113257
GOOG,1.710838
TSLA,1.613339
BRK-B,1.567283
JPM,1.522384
LLY,1.12606
V,1.089767
NFLX,0.927659
XOM,0.861406
MA,0.86033
WMT,0.800908
COST,0.788998
JNJ,0.766012
ORCL,0.76451
HD,0.704522
PG,0.657906
ABBV,0.648303
PLTR,0.636069
BAC,0.55919
GE,0.548238
CVX,0.538391
AMD,0.533443
CSCO,0.507107
KO,0.49715
PM,0.472169
WFC,0.469852
CRM,0.450551
IBM,0.435853
ABT,0.420678
GS,0.414573
LIN,0.409438
INTU,0.40833
UNH,0.406836
MCD,0.404815
DIS,0.399286
RTX,0.391254
CAT,0.379569
MRK,0.37316
T,0.370633
PEP,0.35607
NOW,0.355529
UBER,0.344105
VZ,0.33722
GEV,0.336856
BKNG,0.3319
SPGI,0.329119
TMO,0.327977
MS,0.325204
ISRG,0.32237
C,0.320274
BA,0.312207
TXN,0.308907
SCHW,0.308828
AXP,0.307923
BLK,0.302662
AMGN,0.302337
ACN,0.301425
QCOM,0.301399
BSX,0.2942
ETN,0.280341
AMAT,0.276592
NEE,0.270377
ADBE,0.268929
TJX,0.268634
GILD,0.264996
HON,0.264233
PGR,0.263708
COF,0.251047
PFE,0.249095
UNP,0.247041
APH,0.244639
SYK,0.244315
LOW,0.243643
DE,0.239741
DHR,0.234287
LRCX,0.234174
BX,0.231418
ANET,0.23084
ADP,0.228435
VRTX,0.225789
CMCSA,0.225777
KLAC,0.225538
MU,0.22425
SNPS,0.218695
COP,0.218222
MDT,0.214037
TMUS,0.213968
CRWD,0.210935
PANW,0.210801
CEG,0.206867
ADI,0.205364
ICE,0.201058
SO,0.196406
WELL,0.195015
MO,0.194046
CME,0.192416
SBUX,0.189928
AMT,0.185602
CB,0.18558
CDNS,0.185421
KKR,0.1827
MMC,0.182606
PLD,0.181573
TT,0.180003
DUK,0.179484
BMY,0.171827
PH,0.17086
TDG,0.168057
MCK,0.165396
LMT,0.164538
DASH,0.164497
NKE,0.164141
ORLY,0.161124
INTC,0.1582
WM,0.156979
MDLZ,0.152972
MCO,0.14986
EMR,0.14929
SHW,0.149245
NOC,0.148332
MMM,0.147976
RCL,0.146668
GD,0.146493
AON,0.144693
CVS,0.144533
CTAS,0.143632
EQIX,0.141568
FI,0.140379
PNC,0.139407
WMB,0.136783
MSI,0.136521
HWM,0.136142
AJG,0.135527
NEM,0.135354
VST,0.135206
BK,0.135049
CI,0.132416
JCI,0.130433
USB,0.12897
ITW,0.126124
ZTS,0.126089
CL,0.125981
COIN,0.125082
ECL,0.124417
CSX,0.124276
AZO,0.123516
PYPL,0.122966
ADSK,0.120288
APO,0.119625
APD,0.119355
EOG,0.119141
HCA,0.117367
FTNT,0.116804
NSC,0.116686
HLT,0.116372
UPS,0.115973
ELV,0.115883
AEP,0.114606
TEL,0.11287
TRV,0.111045
REGN,0.110731
MAR,0.1099
